Ticket ID,Ticket Type,Ticket Class,Base Price,Age,Discount Category,Final Price,Journey Status,Refund Request,Delay Reason,Payment Method,Method,Start Station,End Station,Journey Date,Gender
TKT1000039,2 Hours,First Class,10,27,University Student,5.0,Delayed,No,Maintenance,Apple Pay,Darb App,King Saud,King Fahad District 2,2025-04-20,Female
TKT1000040,3 Days,First Class,50,24,University Student,25.0,Cancelled,Yes,,Card,Darb App,STC,Imam University,2025-03-21,Male
TKT1000041,7 Days,First Class,100,72,Senior,50.0,Cancelled,Yes,,Cash,TVM,SABB,Ghornata,2025-03-16,Female
TKT1000042,1 Month,First Class,350,66,Senior,175.0,Delayed,No,Maintenance,Card,Darb App,Imam University,Al Muruj,2025-03-23,Male
TKT1000043,2 Hours,First Class,10,66,Senior,5.0,On Time,No,,Cash,Ticket Office,King Fahad Library,Al Nuzha,2025-03-17,Male
TKT1000044,7 Days,First Class,100,15,School Student,50.0,On Time,No,,Card,Gate Payment,Al Rabi,Al Yarmouk,2025-01-12,Male
TKT1000045,1 Month,First Class,350,12,School Student,175.0,Delayed,No,Technical Issue,Card,Ticket Office,KSU,Princess Nourah University,2025-01-14,Female
TKT1000046,7 Days,First Class,100,78,Senior,50.0,On Time,No,,Card,TVM,Sulaimaniah,King Fahad District 2,2025-01-25,Female
TKT1000047,7 Days,First Class,100,11,School Student,50.0,On Time,No,,Apple Pay,Darb App,KAFD,Manfouha,2025-02-10,Male
TKT1000048,3 Days,Standard,20,32,Adult,20.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Al Aziziyah,Bank Albilad,2025-03-01,Female
TKT1000049,7 Days,Standard,40,79,Senior,20.0,Cancelled,Yes,,Cash,Ticket Office,King Fahad Library,Al Aziziyah,2025-01-03,Female
TKT1000050,2 Hours,Standard,4,63,Senior,2.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,Al Aziziyah,Imam University,2025-02-17,Female
TKT1000051,1 Month,Standard,140,52,Adult,140.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Al Worood,Al Oruba,2025-02-24,Female
TKT1000052,3 Days,Standard,20,4,Child,0.0,Cancelled,Yes,,Card,Gate Payment,King Fahad District 2,KAFD,2025-02-22,Male
TKT1000053,7 Days,First Class,100,49,Adult,100.0,Delayed,No,Maintenance,Cash,TVM,Al Oruba,Ministry of Interior,2025-02-02,Male
TKT1000054,7 Days,First Class,100,22,University Student,50.0,On Time,No,,Apple Pay,Darb App,King Fahad District 2,SABB,2025-04-12,Male
TKT1000055,7 Days,First Class,100,8,School Student,50.0,Cancelled,Yes,,Apple Pay,Gate Payment,Ministry of Interior,Al Dhubab,2025-01-09,Male
TKT1000056,1 Month,First Class,350,2,Child,0.0,Delayed,No,Maintenance,Card,Ticket Office,Al Muruj,Al Murabba,2025-02-28,Female
TKT1000057,2 Hours,First Class,10,51,Adult,10.0,On Time,No,,Cash,TVM,Imam University,King Fahad Library,2024-12-10,Female
TKT1000058,7 Days,Standard,40,56,Adult,40.0,Delayed,No,Maintenance,Apple Pay,Gate Payment,West Station,Sulaimaniah,2024-12-22,Female
TKT1000059,1 Month,Standard,140,42,Adult,140.0,Cancelled,Yes,,Cash,TVM,KSU,Manfouha,2025-01-09,Female
TKT1000060,3 Days,Standard,20,73,Senior,10.0,Cancelled,Yes,,Apple Pay,TVM,SABB,King Fahad District 2,2024-12-27,Male
TKT1000061,2 Hours,First Class,10,78,Senior,5.0,On Time,No,,Apple Pay,TVM,Princess Nourah University,KKIA,2025-01-12,Male
TKT1000062,1 Month,First Class,350,64,Senior,175.0,Delayed,No,Technical Issue,Card,TVM,Ghornata,Al Rabi,2024-12-09,Female
TKT1000063,3 Days,First Class,50,66,Senior,25.0,Delayed,No,Technical Issue,Apple Pay,TVM,National Museum,STC,2025-02-21,Female
TKT1000064,2 Hours,Standard,4,65,Senior,2.0,On Time,No,,Apple Pay,Ticket Office,KAFD,Al Murabba,2025-02-07,Male
TKT1000065,3 Days,Standard,20,42,Adult,20.0,Delayed,No,Maintenance,Card,Darb App,Al Muruj,Ministry of Interior,2025-01-05,Male
TKT1000066,2 Hours,First Class,10,74,Senior,5.0,On Time,No,,Card,TVM,Al Nuzha,Al Dhubab,2025-03-05,Female
TKT1000067,3 Days,Standard,20,38,Adult,20.0,Delayed,No,Maintenance,Card,Ticket Office,West Station,Al Aziziyah,2025-03-10,Male
TKT1000068,2 Hours,First Class,10,54,Adult,10.0,Cancelled,Yes,,Apple Pay,TVM,Al Murabba,King Fahad District,2025-02-28,Female
TKT1000069,1 Month,Standard,140,64,Senior,70.0,On Time,No,,Apple Pay,Darb App,King Fahad District,STC,2025-03-12,Female
TKT1000070,1 Month,Standard,140,26,University Student,70.0,On Time,No,,Apple Pay,TVM,Al Dhubab,Al Nuzha,2025-01-31,Female
TKT1000071,7 Days,First Class,100,63,Senior,50.0,Delayed,No,Technical Issue,Cash,Ticket Office,KKIA,STC,2024-12-27,Female
TKT1000072,3 Days,Standard,20,52,Adult,20.0,Cancelled,Yes,,Card,Darb App,KAFD,KKIA,2025-03-17,Male
TKT1000073,2 Hours,Standard,4,55,Adult,4.0,On Time,No,,Apple Pay,Gate Payment,Al Dooh,Al Rabi,2025-04-23,Female
TKT1000074,1 Month,First Class,350,74,Senior,175.0,On Time,No,,Apple Pay,TVM,Al Rabi,King Fahad District,2025-03-18,Female
TKT1000075,1 Month,Standard,140,65,Senior,70.0,Cancelled,Yes,,Apple Pay,Ticket Office,KKIA,Al Dhubab,2024-12-16,Male
TKT1000076,2 Hours,First Class,10,24,University Student,5.0,On Time,No,,Card,TVM,King Fahad District,Ad Dar Al Baida,2024-12-30,Female
TKT1000077,3 Days,First Class,50,55,Adult,50.0,Delayed,No,Technical Issue,Card,Gate Payment,King Fahad District,King Saud,2025-02-22,Male
TKT1000078,1 Month,Standard,140,2,Child,0.0,On Time,No,,Card,Darb App,Sulaimaniah,Ad Dar Al Baida,2024-12-28,Female
TKT1000079,3 Days,Standard,20,34,Adult,20.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,Al Dooh,KAFD,2025-04-06,Female
TKT1000080,7 Days,First Class,100,66,Senior,50.0,On Time,No,,Card,Gate Payment,Imam University,Al Batha,2025-03-03,Female
TKT1000081,1 Month,Standard,140,26,University Student,70.0,On Time,No,,Card,Gate Payment,West Station,Olaya,2025-04-23,Male
TKT1000082,2 Hours,First Class,10,46,Adult,10.0,On Time,No,,Card,Gate Payment,Ministry of Interior,Alinma,2025-02-22,Female
TKT1000083,7 Days,Standard,40,56,Adult,40.0,On Time,No,,Apple Pay,Ticket Office,Al Dhubab,KAFD,2025-05-01,Male
TKT1000084,1 Month,First Class,350,64,Senior,175.0,Cancelled,Yes,,Apple Pay,TVM,STC,West Station,2025-02-03,Female
TKT1000085,2 Hours,Standard,4,57,Adult,4.0,On Time,No,,Card,Darb App,Al Rabi,Al Murabba,2025-02-22,Male
TKT1000086,1 Month,First Class,350,19,University Student,175.0,On Time,No,,Card,Ticket Office,STC,King Fahad District,2025-04-03,Female
TKT1000087,3 Days,Standard,20,14,School Student,10.0,On Time,No,,Cash,Ticket Office,Ministry of Interior,Ghornata,2025-04-08,Male
TKT1000088,1 Month,First Class,350,68,Senior,175.0,Cancelled,Yes,,Apple Pay,Darb App,KKIA,Al Dhubab,2024-12-07,Female
TKT1000089,2 Hours,Standard,4,21,University Student,2.0,On Time,No,,Card,TVM,West Station,STC,2025-04-15,Male
TKT1000090,1 Month,Standard,140,57,Adult,140.0,Cancelled,Yes,,Apple Pay,Ticket Office,Princess Nourah University,Al Muruj,2024-12-04,Female
TKT1000091,7 Days,First Class,100,54,Adult,100.0,Delayed,No,Maintenance,Card,Gate Payment,Al Nuzha,Ghornata,2025-04-27,Female
TKT1000092,7 Days,Standard,40,34,Adult,40.0,On Time,No,,Apple Pay,TVM,King Saud,Al Aziziyah,2025-01-28,Male
TKT1000093,3 Days,Standard,20,75,Senior,10.0,Delayed,No,Technical Issue,Card,Gate Payment,SABB,Al Worood,2025-04-16,Female
TKT1000094,7 Days,Standard,40,73,Senior,20.0,Delayed,No,Maintenance,Cash,Ticket Office,Al Oruba,King Fahad District 2,2024-12-30,Female
TKT1000095,7 Days,First Class,100,51,Adult,100.0,Delayed,No,Technical Issue,Card,Ticket Office,Ministry of Interior,Princess Nourah University,2024-12-30,Male
TKT1000096,3 Days,Standard,20,42,Adult,20.0,On Time,No,,Card,Darb App,Imam University,Al Worood,2025-01-03,Male
TKT1000097,7 Days,Standard,40,17,School Student,20.0,Cancelled,Yes,,Card,TVM,Ghornata,Al Dooh,2025-02-22,Female
TKT1000098,7 Days,Standard,40,31,Adult,40.0,Cancelled,Yes,,Card,Gate Payment,Alinma,King Saud,2024-12-27,Male
TKT1000099,2 Hours,Standard,4,2,Child,0.0,On Time,No,,Apple Pay,Gate Payment,King Fahad District 2,National Museum,2025-01-28,Male
TKT1000100,1 Month,First Class,350,25,University Student,175.0,Delayed,No,Maintenance,Cash,TVM,Al Murabba,Al Batha,2025-02-17,Male
TKT1000101,7 Days,Standard,40,44,Adult,40.0,Delayed,No,Technical Issue,Card,TVM,Al Dooh,Al Murabba,2025-02-21,Male
TKT1000102,7 Days,Standard,40,41,Adult,40.0,On Time,No,,Apple Pay,Gate Payment,SABB,Al Nuzha,2025-01-07,Female
TKT1000103,7 Days,First Class,100,22,University Student,50.0,Delayed,No,Maintenance,Card,Darb App,Ad Dar Al Baida,National Museum,2025-01-06,Male
TKT1000104,7 Days,First Class,100,56,Adult,100.0,On Time,No,,Card,Ticket Office,SABB,Manfouha,2025-01-31,Male
TKT1000105,3 Days,First Class,50,60,Senior,25.0,Cancelled,Yes,,Apple Pay,Darb App,Al Dooh,KAFD,2025-03-20,Female
TKT1000106,2 Hours,First Class,10,57,Adult,10.0,Delayed,No,Maintenance,Card,TVM,Princess Nourah University,King Fahad District 2,2025-02-21,Female
TKT1000107,2 Hours,First Class,10,46,Adult,10.0,On Time,No,,Apple Pay,TVM,Ministry of Interior,Al Yarmouk,2025-04-20,Male
TKT1000108,1 Month,Standard,140,13,School Student,70.0,Cancelled,Yes,,Card,TVM,Princess Nourah University,Al Yarmouk,2024-12-16,Female
TKT1000109,2 Hours,Standard,4,1,Child,0.0,On Time,No,,Card,Darb App,Princess Nourah University,King Fahad District 2,2025-03-30,Male
TKT1000110,3 Days,Standard,20,68,Senior,10.0,On Time,No,,Apple Pay,Gate Payment,King Fahad District,KAFD,2025-03-10,Female
TKT1000111,3 Days,First Class,50,69,Senior,25.0,Delayed,No,Technical Issue,Card,Ticket Office,Al Dhubab,King Saud,2024-12-07,Male
TKT1000112,7 Days,Standard,40,30,University Student,20.0,On Time,No,,Card,TVM,SABB,King Saud,2025-02-26,Male
TKT1000113,1 Month,First Class,350,54,Adult,350.0,Delayed,No,Maintenance,Apple Pay,Ticket Office,Al Oruba,Al Rabi,2025-01-14,Male
TKT1000114,7 Days,Standard,40,78,Senior,20.0,Cancelled,Yes,,Cash,Ticket Office,Alinma,STC,2025-03-01,Male
TKT1000115,2 Hours,First Class,10,24,University Student,5.0,On Time,No,,Card,Darb App,Al Rabi,Alinma,2025-04-07,Male
TKT1000116,2 Hours,First Class,10,21,University Student,5.0,Cancelled,Yes,,Apple Pay,TVM,National Museum,Al Oruba,2025-01-19,Female
TKT1000117,7 Days,First Class,100,47,Adult,100.0,Cancelled,Yes,,Apple Pay,Gate Payment,KKIA,Al Batha,2025-04-09,Female
TKT1000118,7 Days,Standard,40,77,Senior,20.0,Delayed,No,Maintenance,Cash,TVM,Al Batha,West Station,2025-03-28,Male
TKT1000119,2 Hours,First Class,10,19,University Student,5.0,On Time,No,,Apple Pay,TVM,Olaya,Al Aziziyah,2025-02-22,Male
TKT1000120,2 Hours,First Class,10,55,Adult,10.0,Cancelled,Yes,,Apple Pay,Darb App,Imam University,Ad Dar Al Baida,2025-01-20,Female
TKT1000121,2 Hours,First Class,10,77,Senior,5.0,On Time,No,,Card,TVM,National Museum,Ghornata,2025-04-27,Male
TKT1000122,2 Hours,First Class,10,72,Senior,5.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,KAFD,Al Dooh,2025-01-25,Female
TKT1000123,2 Hours,Standard,4,38,Adult,4.0,Delayed,No,Maintenance,Card,Ticket Office,Al Yarmouk,West Station,2025-03-06,Male
TKT1000124,7 Days,Standard,40,6,Child,0.0,On Time,No,,Apple Pay,Ticket Office,King Fahad Library,Al Dooh,2025-02-23,Male
TKT1000125,1 Month,Standard,140,12,School Student,70.0,On Time,No,,Cash,TVM,Al Muruj,Al Worood,2025-02-22,Female
TKT1000126,2 Hours,Standard,4,75,Senior,2.0,Delayed,No,Technical Issue,Apple Pay,Ticket Office,Al Worood,Al Yarmouk,2025-01-30,Female
TKT1000127,7 Days,Standard,40,45,Adult,40.0,Cancelled,Yes,,Apple Pay,TVM,STC,Sulaimaniah,2025-01-07,Male
TKT1000128,3 Days,Standard,20,34,Adult,20.0,Cancelled,Yes,,Apple Pay,Gate Payment,Al Dooh,Al Rabi,2024-12-11,Female
TKT1000129,7 Days,First Class,100,49,Adult,100.0,Delayed,No,Maintenance,Card,TVM,Sulaimaniah,Olaya,2024-12-11,Male
TKT1000130,7 Days,Standard,40,21,University Student,20.0,Delayed,No,Technical Issue,Card,TVM,KAFD,Alinma,2025-02-10,Male
TKT1000131,3 Days,Standard,20,17,School Student,10.0,On Time,No,,Apple Pay,Darb App,Olaya,Al Batha,2025-01-21,Female
TKT1000132,7 Days,Standard,40,15,School Student,20.0,On Time,No,,Apple Pay,Ticket Office,Al Aziziyah,Al Murabba,2025-03-09,Male
TKT1000133,1 Month,First Class,350,7,School Student,175.0,Delayed,No,Technical Issue,Card,TVM,Al Dooh,Ministry of Interior,2025-04-04,Female
TKT1000134,7 Days,First Class,100,78,Senior,50.0,Cancelled,Yes,,Apple Pay,Darb App,King Fahad District 2,KSU,2025-02-22,Male
TKT1000135,2 Hours,First Class,10,27,University Student,5.0,On Time,No,,Card,Gate Payment,Al Worood,STC,2025-01-09,Female
TKT1000136,3 Days,Standard,20,58,Adult,20.0,Cancelled,Yes,,Apple Pay,Ticket Office,Imam University,Al Dhubab,2025-04-14,Female
TKT1000137,7 Days,First Class,100,27,University Student,50.0,Delayed,No,Technical Issue,Cash,Ticket Office,Alinma,Al Rabi,2025-03-30,Female
TKT1000138,7 Days,First Class,100,23,University Student,50.0,Cancelled,Yes,,Apple Pay,Darb App,Al Dooh,Princess Nourah University,2025-03-10,Male
TKT1000139,2 Hours,First Class,10,69,Senior,5.0,On Time,No,,Card,Gate Payment,Manfouha,Al Rabi,2025-04-09,Male
TKT1000140,3 Days,Standard,20,19,University Student,10.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,King Fahad District,KSU,2025-01-11,Female
TKT1000141,1 Month,Standard,140,41,Adult,140.0,On Time,No,,Card,Ticket Office,Al Worood,Al Dhubab,2025-02-22,Male
TKT1000142,1 Month,Standard,140,17,School Student,70.0,Cancelled,Yes,,Card,Gate Payment,King Saud,Al Dooh,2025-04-02,Male
TKT1000143,2 Hours,Standard,4,53,Adult,4.0,On Time,No,,Apple Pay,Gate Payment,Al Rabi,Al Worood,2025-03-04,Female
TKT1000144,3 Days,First Class,50,28,University Student,25.0,On Time,No,,Card,TVM,KSU,Manfouha,2025-03-29,Female
TKT1000145,7 Days,First Class,100,23,University Student,50.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,King Saud,Al Murabba,2025-01-10,Male
TKT1000146,2 Hours,First Class,10,12,School Student,5.0,Delayed,No,Maintenance,Apple Pay,TVM,Ghornata,Al Nuzha,2025-03-22,Male
TKT1000147,7 Days,First Class,100,37,Adult,100.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,SABB,Princess Nourah University,2025-04-28,Female
TKT1000148,7 Days,Standard,40,15,School Student,20.0,Delayed,No,Technical Issue,Card,TVM,Sulaimaniah,STC,2025-01-26,Male
TKT1000149,3 Days,First Class,50,57,Adult,50.0,On Time,No,,Apple Pay,Ticket Office,STC,Al Muruj,2025-04-08,
TKT1000150,7 Days,Standard,40,74,Senior,20.0,Cancelled,Yes,,Cash,TVM,SABB,Sulaimaniah,2025-03-17,Male
TKT1000151,3 Days,Standard,20,5,Child,0.0,Cancelled,Yes,,Card,Gate Payment,STC,SABB,2025-03-04,Male
TKT1000152,3 Days,Standard,20,58,Adult,20.0,On Time,No,,Apple Pay,Darb App,Ad Dar Al Baida,King Fahad District 2,2024-12-16,Male
TKT1000153,2 Hours,First Class,10,77,Senior,5.0,Delayed,No,Maintenance,Card,TVM,King Saud,Al Worood,2025-03-24,Female
TKT1000154,3 Days,First Class,50,52,Adult,50.0,Cancelled,Yes,,Card,TVM,Al Muruj,Ministry of Interior,2025-02-06,Male
TKT1000155,1 Month,Standard,140,36,Adult,140.0,Cancelled,Yes,,Cash,TVM,King Fahad District 2,Al Murabba,2025-02-03,Male
TKT1000156,7 Days,First Class,100,9,School Student,50.0,Delayed,No,Technical Issue,Card,Darb App,Al Dhubab,Al Yarmouk,2025-04-15,Female
TKT1000157,2 Hours,First Class,10,21,University Student,5.0,Delayed,No,Technical Issue,Apple Pay,Gate Payment,Al Dhubab,Bank Albilad,2025-03-10,Male
TKT1000158,2 Hours,First Class,10,72,Senior,5.0,On Time,No,,Cash,TVM,Al Oruba,Ghornata,2025-01-30,Male
TKT1000159,2 Hours,First Class,10,65,Senior,5.0,On Time,No,,Cash,TVM,King Fahad District,West Station,2025-02-24,Male
TKT1000160,3 Days,Standard,20,68,Senior,10.0,Cancelled,Yes,,Apple Pay,Darb App,Bank Albilad,Manfouha,2025-02-22,Female
TKT1000161,3 Days,First Class,50,14,School Student,25.0,Delayed,No,Technical Issue,Card,Darb App,SABB,Olaya,2025-01-24,Female
TKT1000162,7 Days,Standard,40,65,Senior,20.0,On Time,No,,Card,TVM,Princess Nourah University,West Station,2025-02-19,Male
TKT1000163,2 Hours,Standard,4,15,School Student,2.0,Delayed,No,Technical Issue,Card,Gate Payment,Al Nuzha,King Fahad District 2,2025-01-17,Male
TKT1000164,7 Days,First Class,100,79,Senior,50.0,Delayed,No,Technical Issue,Card,Ticket Office,Al Oruba,Al Dhubab,2024-12-09,Male
TKT1000165,3 Days,Standard,20,34,Adult,20.0,Cancelled,Yes,,Cash,Ticket Office,Al Yarmouk,KSU,2024-12-08,Female
TKT1000166,3 Days,First Class,50,1,Child,0.0,Cancelled,Yes,,Apple Pay,Ticket Office,Al Muruj,King Saud,2025-04-30,Male
TKT1000167,3 Days,Standard,20,54,Adult,20.0,Delayed,No,Technical Issue,Card,Gate Payment,SABB,Al Muruj,2025-02-05,Male
TKT1000168,1 Month,First Class,350,44,Adult,350.0,Delayed,No,Technical Issue,Card,Ticket Office,Princess Nourah University,King Fahad District,2025-01-17,Female
TKT1000169,3 Days,Standard,20,14,School Student,10.0,Delayed,No,Maintenance,Cash,Ticket Office,Sulaimaniah,Princess Nourah University,2025-03-01,Female
TKT1000170,7 Days,First Class,100,45,Adult,100.0,Cancelled,Yes,,Cash,Ticket Office,KKIA,Al Yarmouk,2025-02-13,Female
TKT1000171,3 Days,First Class,50,68,Senior,25.0,Delayed,No,Maintenance,Apple Pay,TVM,King Saud,Manfouha,2025-01-26,Male
TKT1000172,1 Month,Standard,140,61,Senior,70.0,Delayed,No,Technical Issue,Apple Pay,Darb App,STC,Bank Albilad,2024-12-16,Female
TKT1000173,2 Hours,First Class,10,2,Child,0.0,Delayed,No,Technical Issue,Apple Pay,Ticket Office,Al Dhubab,Al Muruj,2025-03-20,Female
TKT1000174,2 Hours,Standard,4,10,School Student,2.0,Delayed,No,Technical Issue,Cash,TVM,Manfouha,Al Worood,2025-02-16,Male
TKT1000175,1 Month,First Class,350,9,School Student,175.0,On Time,No,,Apple Pay,TVM,Al Oruba,Alinma,2025-03-20,Male
TKT1000176,3 Days,First Class,50,29,University Student,25.0,On Time,No,,Card,Darb App,Manfouha,Olaya,2025-01-22,Male
TKT1000177,2 Hours,First Class,10,67,Senior,5.0,On Time,No,,Card,Ticket Office,Al Dhubab,Al Aziziyah,2025-02-20,Male
TKT1000178,7 Days,Standard,40,2,Child,0.0,On Time,No,,Card,Ticket Office,King Saud,Manfouha,2025-01-03,Male
TKT1000179,2 Hours,Standard,4,69,Senior,2.0,Cancelled,Yes,,Apple Pay,Darb App,Al Dhubab,Sulaimaniah,2025-04-22,Female
TKT1000180,7 Days,Standard,40,57,Adult,40.0,Cancelled,Yes,,Apple Pay,Gate Payment,SABB,Alinma,2024-12-13,Female
TKT1000181,7 Days,Standard,40,39,Adult,40.0,Cancelled,Yes,,Card,Gate Payment,KSU,West Station,2025-01-25,Female
TKT1000182,1 Month,Standard,140,32,Adult,140.0,Delayed,No,Maintenance,Card,Darb App,Al Dooh,King Fahad District 2,2025-03-13,Female
TKT1000183,3 Days,First Class,50,21,University Student,25.0,Delayed,No,Technical Issue,Cash,Ticket Office,Al Aziziyah,National Museum,2024-12-31,Male
TKT1000184,1 Month,First Class,350,36,Adult,350.0,On Time,No,,Card,Darb App,SABB,KKIA,2025-02-22,Male
TKT1000185,3 Days,First Class,50,43,Adult,50.0,Cancelled,Yes,,Card,Darb App,Qasr Al Hokm,Alinma,2024-12-02,Female
TKT1000186,1 Month,Standard,140,67,Senior,70.0,Delayed,No,Technical Issue,Apple Pay,Darb App,Al Yarmouk,Al Aziziyah,2025-01-18,Male
TKT1000187,3 Days,Standard,20,24,University Student,10.0,On Time,No,,Apple Pay,Gate Payment,Al Murabba,King Saud,2025-02-22,Female
TKT1000188,3 Days,Standard,20,70,Senior,10.0,Cancelled,Yes,,Card,Gate Payment,Al Rabi,KAFD,2025-01-11,Female
TKT1000189,7 Days,Standard,40,73,Senior,20.0,Delayed,No,Technical Issue,Card,Gate Payment,Al Rabi,Al Murabba,2025-02-22,Female
